Word1,Word2,Offset1,Offset2,Resource,Appearances
tree,bark,13104059-n,13162297-n,"A++, Ar, HP, Q, T, VG",8
deer,antler,02430045-n,01325658-n,"Ar, HP, Q, T, VG",7
cat,eye,02121620-n,05311054-n,"Ar, HP, Q, T, VG",6
bird,tail,01503061-n,02157557-n,"Ar, HP, Q, T, VG",6
beach,sand,09217230-n,15019030-n,"A++, HP, Q, T, VG",6
hand,palm,05564590-n,05565696-n,"A++, Ar, HP, T, VG",6
head,eye,05538625-n,05311054-n,"A++, Ar, HP, T, VG",6
woman,baby,10787470-n,09827683-n,"A++, Ar, Q, T, VG",6
lion,mane,02129165-n,01899746-n,"Ar, HP, Q, T, VG",6
animal,eye,00015388-n,05311054-n,"Ar, HP, Q, T, VG",6
dog,nose,02084071-n,05598147-n,"Ar, HP, Q, T, VG",6
dog,mouth,02084071-n,05302499-n,"Ar, HP, Q, T, VG",5
giraffe,neck,02439033-n,05546540-n,"Ar, HP, Q, T, VG",5
mother,child,10332385-n,09917593-n,"A++, Q, T, VG",5
face,nose,05600637-n,05598147-n,"Ar, HP, T, VG",5
coin,gold,13388245-n,13371760-n,"Ar, HP, T, VG",5
angel,wing,09538915-n,02151625-n,"Ar, HP, T, VG",5
mouth,tongue,05302499-n,05301072-n,"Ar, HP, T, VG",5
sea,wave,09426788-n,07352190-n,"HP, Q, T, VG",5
planet,water,09394007-n,14845743-n,"A++, HP, Q, T",5
tooth,enamel,05282746-n,05308655-n,"A++, Ar, HP, T",5
lion,paw,02129165-n,02439929-n,"Ar, HP, Q, VG",5
eye,eyelid,05311054-n,05313822-n,"Ar, HP, T, VG",5
woman,career,10787470-n,00583246-n,"A++, T",5
menu,item,06492939-n,06482401-n,"A++, Ar, T, VG",5
mouse,tail,02330245-n,02157557-n,"Ar, HP, Q, T, VG",5
rabbit,ear,02324045-n,05320899-n,"Ar, HP, Q, T, VG",5
house,window,03544360-n,04587648-n,"Ar, Q, T, VG",5
lioness,mane,02129463-n,01899746-n,"Ar, Q, T",5
dog,hair,02084071-n,05254795-n,"HP, Q, T, VG",5
crab,shell,01976957-n,04190464-n,"Ar, Q, T",5
squirrel,tail,02355227-n,02157557-n,"Ar, HP, Q, T, VG",5
body,hand,05216365-n,05564590-n,"Ar, HP, T, VG",5
man,leg,10287213-n,05560787-n,"Ar, Q, T, VG",5
face,eye,05600637-n,05311054-n,"Ar, HP, T, VG",5
planet,gas,09394007-n,14481080-n,"A++, HP, Q, T",5
guy,beard,10153414-n,05261566-n,"Ar, Q, T, VG",5
mother,son,10332385-n,10624074-n,"A++, Ar, T, VG",5
album,song,06591815-n,07048000-n,"Ar, HP, T, VG",5
baby,leg,09827683-n,05560787-n,"Ar, HP, Q, T, VG",5
shoe,heel,04199027-n,03511426-n,"Ar, T, VG",4
immigrant,right,10199489-n,05174653-n,"A++, T",4
animal,hoof,00015388-n,02153959-n,"Ar, HP, T, VG",4
elephant,hair,02503517-n,05254795-n,"HP, Q, VG",4
